book_title,book_author,book_translator,book_pub_date,book_isbn
Programming Challenges: 알고리즘 트레이닝 북,"스티븐 스키에나 , 미구엘 레비야 ",서환수 ,2004-07-14,8979142889
"IT CookBook, 디지털 집적회로 해석 및 설계","데이비드 하지즈 , 호레스 잭슨 , 레스베 살레 ",김대정 ,2010-08-20,9788979147513
사전처럼 바로 찾아 쓰는 알고리즘,"조지 T. 하인만 , 게리 폴리케 , 스탠리 셀코 ",전경원 ,2010-03-08,9788979147292
누워서 읽는 알고리즘: 프로그래밍 상상력을 키워주는 알고리즘 이야기,임백준 ,,2015-10-16,9788968482274
뇌를 자극하는 C 프로그래밍,서현우 ,,2005-10-01,8979143443
뇌를 자극하는 알고리즘,박상현 ,,2009-09-04,9788979146875
더글라스 크락포드의 자바스크립트 핵심 가이드,더글라스 크락포드(Douglas Crockford) ,김명신 ,2008-09-26,9788979145984
뇌를 자극하는 C# 5.0 프로그래밍,박상현 ,,2014-08-19,9788968481161
자바스크립트를 말하다 : 가장 간결하면서도 완벽한 자바스크립트 입문서,악셀 라우슈마이어 ,한선용 ,2014-09-12,9788968481192
"IT CookBook, 정보보안 이론과 실제",마크 스탬프 ,"안태남 , 손용락 , 이광석 ",2015-09-17,9791156642008
"IT CookBook, 비주얼 베이직 2010 for Beginner",임관철 ,,2015-02-26,9791156641728
크리스 크로퍼드의 인터랙티브 스토리텔링,크리스 크로퍼드 ,최향숙 ,2015-12-01,9788968482403
생각하며 배우는 대학물리학,이기영 ,,2018-02-02,9791156643784
"IT CookBook, 비주얼 베이직 2015 for Beginner",임관철 ,,2016-12-30,9791156643067
정유진의 웹 2.0 기획론: 강력한 웹 2.0 서비스를 만드는 13개의 키워드,정유진 ,,2006-12-15,8979144555
"IT CookBook, 비주얼 베이직 프로그래밍 : 윈도우 프로그래밍의 첫 걸음",고응남 ,,2007-10-26,9788979145007
회사에서 바로 통하는 돋보이는 기획서,이시오카 히로쿠니 ,전경아 ,2009-01-14,9788996185512
"Head First Python, 개정판",폴 배리 ,우정은 ,2017-12-04,9791162240281
"IT CookBook, 네트워크 해킹과 보안 개정3판 : 정보 보안 개론과 실습",양대일 ,,2016-12-28,9791156642770
지금 당장 기획공부 시작하라,박경수 ,,2014-06-11,9788994120812
"IT CookBook, 정보 보안 개론 개정3판",양대일 ,,2018-01-10,9791156643616
더 나은 프로그래밍을 위한 코드골프 : 즐기면서 배우는 자바스크립트 코드 퍼즐과 알고리즘,야나이 마사카즈 ,"손정도 , 김정현 ",2015-01-28,9788968481673
"IT CookBook, C++ 프로그래밍 기초 : 객체지향의 시작","성윤정 , 김태은 ",,2014-03-12,9791156641049
"IT CookBook, 인터넷 이해와 활용 : 인터넷 기초부터 홈페이지 제작까지(개정2판)","안치현 , 김형철 ",,2014-03-12,9791156641056
The Art of Computer Programming 1: 기초 알고리즘(개정 3판),도널드 커누스(Donald E. Knuth) ,류광 ,2006-09-28,9788979144307
The Art of Computer Programming 2: 준수치적 알고리즘(개정 3판),도널드 커누스(Donald E. Knuth) ,류광 ,2007-09-14,9788979144840
만들면서 배우는 모던 웹사이트 디자인,야무(지훈) ,,2014-03-17,9788968480904
"Blog2Book, 아는 만큼 보이는 데이터베이스 설계와 구축",이춘식 ,,2008-07-04,9788979145571
The Art of Computer Programming 3: 정렬과 검색(개정 2판),도널드 커누스(Donald E. Knuth)) ,류광 ,2008-01-01,9788979145496
"Introduction To Algorithms, Third Edition","토머스 코멘 , 찰스 레이서손 , 로날드 리베스트 , 클리포드 스타인 ","문병로 , 심규석 , 이충세 ",2014-07-10,9791156641131
"모던 웹을 위한 JavaScript + jQuery 입문(개정판) : 자바스크립트에서 제이쿼리, 제이쿼리 모바일까지 한 권으로 끝낸다",윤인성 ,,2013-09-03,9788968480423
Thinking About : PPL을 이용한 VC++ 병렬 프로그래밍(2판),김경진 ,,2014-03-17,9788968486548
폴리글랏 프로그래밍 : 새로운 자바 언어를 기다리는 히치하이커를 위한 안내서,임백준 ,,2014-03-18,9788968480867
Thinking about C/C++ : 프로그래머가 몰랐던 프로그램의 동작 원리(프로그램 개발편),박수현 ,,2014-03-27,9788968486937
실무 예제로 배우는 Elasticsearch 검색엔진(기본편),정호욱 ,,2014-03-25,9788968486913
생생 IT 토크 : 프로그래머들의 클라우드 이야기,"강대명 , 박민우 , 박현우 , 진성주 ",,2014-03-31,9788968486920
Thinking about C/C++ : 프로그래머가 몰랐던 프로그램의 동작 원리(프로그램 생성편),박수현 ,,2014-04-24,9788968486951
린 마인드셋 : 린 스타트업을 위한 경영 철학,"메리 포펜딕 , 톰 포펜딕 ",위선주 ,2014-04-02,9788968480928
오래가는 UX 디자인: 모바일 시대의 제품 디자인 기본 원칙,반준철 ,,2013-01-24,9788979149982
기획은 퍼즐이다,박경수 ,,2014-11-18,9788994120942
자바 객체지향 디자인 패턴: UML과 GoF 디자인 패턴 핵심 10가지로 배우는,"정인상 , 채흥석 ",,2014-04-28,9788968480911
재미있는 게임을 만드는 게임 밸런스 이야기,손형률 ,,2014-04-27,9788968480294
나의 첫 파이썬,에릭 마테스 ,한선용 ,2017-05-01,9788968483561
"인사이드 자바스크립트 : 핵심 개념과 원리를 정확하게. jQuery, Node.js, 클로저의 개념까지","송형주 , 고현준 ",,2014-01-02,9788968480652
린 분석 : 성공을 예측하는 31가지 사례와 13가지 패턴,"앨리스테어 크롤 , 벤저민 요스코비츠 ",위선주 ,2014-01-02,9788968480690
"iOS 7 핵심 노트 : Xcode 5, 플랫 UI, API 중심으로 살펴보는 iOS 7",야곰 ,,2013-12-31,9788968486579
"IT CookBook, 페도라 리눅스 : 시스템 & 네트워크",이종원 ,,2014-01-02,9788998756659
"뇌를 자극하는 SQL Server 2012 (2권, 관리/응용편)",우재남 ,,2014-04-28,9788968480782
R로 배우는 데이터 분석 기본기 데이터 시각화 : 예제와 함수 중심으로 배우는 빅데이터 분석,후나오 노부오 ,김성재 ,2014-01-02,9788968480645
SQL 레벨업 : DB 성능 최적화를 위한 SQL 실전 가이드,미크 ,윤인성 ,2016-01-22,9788968482519
"IT CookBook, 쉽게 배우는 유전 알고리즘 : 진화적 접근법",문병로 ,,2014-09-02,9791156641353
만들면서 배우는 모던 웹사이트 제작,야무(지훈) ,,2015-04-20,9788968481871
브루스 테이트의 세븐 랭귀지 : 프로그래머라면 알아야 할 미래를 품은 7가지 언어,브루스 테이트 ,임백준 ,2015-04-27,9788968481857
